case,minlp_time,misoc_time,lp_time
nomination_mild_1234,1000.0,6.53,2.71
nomination_mild_1248,1000.0,10.21,2.61
nomination_mild_1353,1000.0,13.95,2.7
nomination_mild_1395,1000.0,7.82,2.72
nomination_mild_1399,1000.0,12.5,2.69
nomination_mild_1424,1000.01,10.57,3.1
nomination_mild_1495,1000.0,10.3,2.78
nomination_mild_1588,1000.0,32.67,2.68
nomination_mild_1603,1000.0,10.92,2.82
nomination_mild_1641,1000.0,21.84,2.59
nomination_mild_1742,1000.0,24.3,2.55
nomination_mild_1748,1000.0,10.49,2.92
nomination_mild_1756,1000.0,14.16,2.7
nomination_mild_1776,1000.0,11.69,3.02
nomination_mild_1942,1000.0,6.8,2.72
nomination_mild_1969,1000.0,8.92,2.77
nomination_mild_1995,1000.0,946.88,2.62
nomination_mild_2022,1000.0,16.26,2.76
nomination_mild_2023,1000.0,10.98,2.45
nomination_mild_2039,1000.0,13.06,2.68
nomination_mild_2051,1000.0,47.5,2.66
nomination_mild_2118,1000.0,11.47,2.69
nomination_mild_2158,1000.0,7.29,2.72
nomination_mild_2172,1000.0,8.91,2.88
nomination_mild_2249,1000.0,1000.72,2.89
nomination_mild_2254,1000.01,28.24,2.91
nomination_mild_2461,1000.0,9.68,2.67
nomination_mild_2518,1000.0,33.69,2.83
nomination_mild_2594,1000.07,11.71,2.75
nomination_mild_2610,1000.0,13.28,2.78
nomination_mild_2649,1000.01,41.61,3.21
nomination_mild_2671,1000.01,37.16,2.68
nomination_mild_2679,1000.0,11.14,2.68
nomination_mild_2739,1000.15,34.72,2.83
nomination_mild_2759,1000.0,12.26,2.67
nomination_warm_0167,1000.0,46.37,2.93
nomination_warm_0229,1000.0,10.27,2.93
nomination_warm_0244,1000.0,6.55,2.78
nomination_warm_0280,1000.0,1001.61,2.99
nomination_warm_0473,1000.0,1000.9,3.05
nomination_warm_0495,1000.0,11.88,2.85
nomination_warm_0549,1000.0,10.14,3.27
nomination_warm_0599,1000.02,7.63,3.5
nomination_warm_0630,1000.0,32.15,2.97
nomination_warm_0631,1000.0,10.65,2.97
nomination_warm_0726,1000.0,11.44,3.05
nomination_warm_0790,1000.0,24.47,3.08
nomination_warm_0860,1000.0,12.02,3.2
nomination_warm_0874,1000.0,13.75,3.3
nomination_warm_1002,1000.0,27.09,3.01
nomination_warm_1034,1000.0,25.89,2.8
nomination_warm_1064,1000.01,37.73,2.89
nomination_warm_1067,1000.0,12.28,3.11
nomination_warm_1096,1000.0,38.01,3.06
nomination_warm_1135,1000.01,10.93,3.07
nomination_warm_1217,1000.0,27.01,3.09
nomination_warm_1244,1000.0,10.95,2.95
nomination_warm_1257,1000.0,36.51,2.8
nomination_warm_1381,1000.0,14.31,3.01
nomination_warm_1454,1000.0,25.72,3.07
nomination_warm_1508,1000.0,29.82,2.95
nomination_warm_1574,1000.01,1000.15,2.8
nomination_warm_1591,1000.0,33.75,2.82
nomination_warm_1619,1000.0,6.38,3.34
nomination_warm_1842,1000.01,7.63,2.79
nomination_warm_1850,1000.0,8.18,2.95
nomination_warm_2078,1000.01,28.83,2.9
nomination_warm_2110,1000.0,35.41,2.84
nomination_warm_2159,1000.0,33.42,2.94
nomination_warm_2229,1000.0,17.61,3.25
nomination_warm_2400,1000.0,32.32,2.87
nomination_warm_2440,1000.0,7.63,3.24
nomination_warm_2491,1000.39,30.62,3.04
nomination_warm_2498,1000.01,11.74,2.83
nomination_warm_2517,1000.0,21.75,2.71
nomination_warm_2666,1000.0,24.35,2.78
nomination_warm_2703,1000.0,45.8,2.83
